pair,scenario,cell,proto,sysctl,dur_s,scenario_iface,scenario_v4,mbps,retransmits,recv_sys_pct,recv_soft_pct,kernel_has_sysctl,status
hp2-hp5,vlan,cell-04,udp,1,600,vlan100,10.10.40.5,7245.2,0,22.79,1.08,yes,ok
hp2-hp5,qinq,cell-01,tcp,0,600,cvlan100,10.10.41.5,8902.3,29632,29.55,0.38,yes,ok
hp2-hp5,qinq,cell-02,tcp,1,600,cvlan100,10.10.41.5,8602.8,33633,28.62,0.72,yes,ok
hp2-hp5,qinq,cell-03,udp,0,600,cvlan100,10.10.41.5,5991.5,0,22.76,0.19,yes,ok
hp2-hp5,qinq,cell-04,udp,1,600,cvlan100,10.10.41.5,6015.8,30,22.83,0.15,yes,ok
hp2-hp5,vxlan,cell-01,tcp,0,600,vxlan10,192.168.100.2,9086.4,127360,20.81,6.32,yes,ok
hp2-hp5,vxlan,cell-02,tcp,1,600,vxlan10,192.168.100.2,9086.5,164082,20.60,6.39,yes,ok
hp2-hp5,vxlan,cell-03,udp,0,600,vxlan10,192.168.100.2,6097.8,0,17.90,8.28,yes,ok
hp2-hp5,vxlan,cell-04,udp,1,600,vxlan10,192.168.100.2,6080.8,0,17.57,7.92,yes,ok
hp2-hp5,mpls,cell-01,tcp,0,600,lo,10.10.43.5,9385.4,175414,8.67,12.00,yes,ok
hp2-hp5,mpls,cell-02,tcp,1,600,lo,10.10.43.5,9385.9,148078,8.49,11.73,yes,ok
hp2-hp5,mpls,cell-03,udp,0,600,lo,10.10.43.5,6701.7,48,4.51,9.11,yes,ok
hp2-hp5,mpls,cell-04,udp,1,600,lo,10.10.43.5,6684.1,0,4.67,9.27,yes,ok
hp2-hp5,ipip,cell-01,tcp,0,600,ipip0,10.10.42.5,9267.0,122062,22.26,6.49,yes,ok
hp2-hp5,ipip,cell-02,tcp,1,600,ipip0,10.10.42.5,9269.7,110408,23.02,7.15,yes,ok
hp2-hp5,ipip,cell-03,udp,0,600,ipip0,10.10.42.5,7217.2,0,18.04,7.78,yes,ok
hp2-hp5,ipip,cell-04,udp,1,600,ipip0,10.10.42.5,7231.8,0,18.00,7.96,yes,ok
