time,srcaddress,srcport,dstaddr,dstport,transferid,istart,iend,bytes,speed,writecnt,writeerr,tcpretry,tcpcwnd,tcppcwnd,tcprtt,tcprttvar
-0700:20260612020513.546481,172.16.40.122,54944,172.16.40.174,5001,4,16.0,17.0,29229056,233832448,223,0,0,207,147,4282,124
-0700:20260612020513.546481,172.16.40.122,54948,172.16.40.174,5001,1,16.0,17.0,29229056,233832448,223,0,0,258,183,4266,124
-0700:20260612020513.546482,172.16.40.122,54942,172.16.40.174,5001,2,16.0,17.0,29360128,234881024,224,0,0,264,187,4282,140
-0700:20260612020513.546574,172.16.40.122,54946,172.16.40.174,5001,3,16.0,17.0,29622272,236978176,226,0,0,353,250,4295,158
-0700:20260612020513.546481,172.16.40.122,0,172.16.40.174,5001,-1,16.0,17.0,117440512,939524096,896,0,0,3905805257111764992,0,0,0
-0700:20260612020514.546481,172.16.40.122,54948,172.16.40.174,5001,1,17.0,18.0,29360128,234881024,224,0,0,258,183,4263,128
-0700:20260612020514.546481,172.16.40.122,54944,172.16.40.174,5001,4,17.0,18.0,29229056,233832448,223,0,0,207,147,4250,113
-0700:20260612020514.546574,172.16.40.122,54946,172.16.40.174,5001,3,17.0,18.0,28966912,231735296,221,0,0,353,250,4303,151
-0700:20260612020514.546482,172.16.40.122,54942,172.16.40.174,5001,2,17.0,18.0,29229056,233832448,223,0,0,264,187,4297,140
-0700:20260612020514.546481,172.16.40.122,0,172.16.40.174,5001,-1,17.0,18.0,116785152,934281216,891,0,0,3905805257111764992,0,0,0
-0700:20260612020515.546481,172.16.40.122,54948,172.16.40.174,5001,1,18.0,19.0,28704768,229638144,219,0,0,258,183,4302,115
-0700:20260612020515.546481,172.16.40.122,54944,172.16.40.174,5001,4,18.0,19.0,29360128,234881024,224,0,0,207,147,4266,125
-0700:20260612020515.546482,172.16.40.122,54942,172.16.40.174,5001,2,18.0,19.0,29622272,236978176,226,0,0,264,187,4247,145
-0700:20260612020515.546574,172.16.40.122,54946,172.16.40.174,5001,3,18.0,19.0,28966912,231735296,221,0,0,353,250,4327,132
-0700:20260612020515.546481,172.16.40.122,0,172.16.40.174,5001,-1,18.0,19.0,116654080,933232640,890,0,0,3905805257111764992,0,0,0
-0700:20260612020516.546481,172.16.40.122,54948,172.16.40.174,5001,1,19.0,20.0,29360128,234881024,224,0,0,258,183,4245,137
-0700:20260612020516.546481,172.16.40.122,54944,172.16.40.174,5001,4,19.0,20.0,29097984,232783872,222,0,0,207,147,4473,500
-0700:20260612020516.546482,172.16.40.122,54942,172.16.40.174,5001,2,19.0,20.0,29097984,232783872,222,0,0,417,295,4269,129
-0700:20260612020516.546574,172.16.40.122,54946,172.16.40.174,5001,3,19.0,20.0,29622272,236978176,226,0,0,353,250,4297,136
-0700:20260612020516.546481,172.16.40.122,0,172.16.40.174,5001,-1,19.0,20.0,117178368,937426944,894,0,0,3905805257111764992,0,0,0
-0700:20260612020517.546481,172.16.40.122,54944,172.16.40.174,5001,4,20.0,21.0,29360128,234881024,224,0,0,207,147,4227,124
-0700:20260612020517.546481,172.16.40.122,54948,172.16.40.174,5001,1,20.0,21.0,29360128,234881024,224,0,0,258,183,4272,156
-0700:20260612020517.546574,172.16.40.122,54946,172.16.40.174,5001,3,20.0,21.0,28966912,231735296,221,0,0,353,250,4301,141
-0700:20260612020517.546482,172.16.40.122,54942,172.16.40.174,5001,2,20.0,21.0,30146560,241172480,230,0,0,417,295,4281,103
-0700:20260612020517.546481,172.16.40.122,0,172.16.40.174,5001,-1,20.0,21.0,117833728,942669824,899,0,0,3905805257111764992,0,0,0
