pair,scenario,cell,rep,proto,sysctl,dur_s,scenario_iface,scenario_v4,mbps,retransmits,recv_sys_pct,recv_soft_pct,rps,rfs,cake,flower,kernel_has_sysctl,status
pi5-pair,ipip,cell-02,1,tcp,1,60,ipip0,10.10.42.5,928.4,0,0.82,5.76,1,1,1,1,yes,ok
pi5-pair,ipip,cell-02,2,tcp,1,60,ipip0,10.10.42.5,928.4,0,0.86,5.75,1,1,1,1,yes,ok
pi5-pair,ipip,cell-02,3,tcp,1,60,ipip0,10.10.42.5,928.4,0,0.82,5.73,1,1,1,1,yes,ok
pi5-pair,ipip,cell-03,1,udp,0,60,ipip0,10.10.42.5,933.1,32,3.01,18.84,1,1,1,1,yes,ok
pi5-pair,ipip,cell-03,2,udp,0,60,ipip0,10.10.42.5,933.1,0,3.04,18.43,1,1,1,1,yes,ok
pi5-pair,ipip,cell-03,3,udp,0,60,ipip0,10.10.42.5,933.1,8,3.01,18.42,1,1,1,1,yes,ok
pi5-pair,ipip,cell-04,1,udp,1,60,ipip0,10.10.42.5,933.1,17,3.04,18.44,1,1,1,1,yes,ok
pi5-pair,ipip,cell-04,2,udp,1,60,ipip0,10.10.42.5,933.1,0,3.14,19.92,1,1,1,1,yes,ok
pi5-pair,ipip,cell-04,3,udp,1,60,ipip0,10.10.42.5,933.1,0,3.00,19.90,1,1,1,1,yes,ok
pi5-pair,gre,cell-01,1,tcp,0,60,gretest0,10.10.44.5,925.8,0,0.85,5.76,1,1,1,1,yes,ok
pi5-pair,gre,cell-01,2,tcp,0,60,gretest0,10.10.44.5,925.8,2543,0.95,5.83,1,1,1,1,yes,ok
pi5-pair,gre,cell-01,3,tcp,0,60,gretest0,10.10.44.5,925.8,0,0.78,5.79,1,1,1,1,yes,ok
pi5-pair,gre,cell-02,1,tcp,1,60,gretest0,10.10.44.5,925.8,0,0.85,5.77,1,1,1,1,yes,ok
pi5-pair,gre,cell-02,2,tcp,1,60,gretest0,10.10.44.5,925.8,0,0.87,5.83,1,1,1,1,yes,ok
pi5-pair,gre,cell-02,3,tcp,1,60,gretest0,10.10.44.5,925.8,0,0.87,5.78,1,1,1,1,yes,ok
pi5-pair,gre,cell-03,1,udp,0,60,gretest0,10.10.44.5,930.2,0,3.06,20.02,1,1,1,1,yes,ok
pi5-pair,gre,cell-03,2,udp,0,60,gretest0,10.10.44.5,930.2,0,3.04,19.98,1,1,1,1,yes,ok
pi5-pair,gre,cell-03,3,udp,0,60,gretest0,10.10.44.5,930.2,14,3.09,18.60,1,1,1,1,yes,ok
pi5-pair,gre,cell-04,1,udp,1,60,gretest0,10.10.44.5,930.2,0,2.98,20.01,1,1,1,1,yes,ok
pi5-pair,gre,cell-04,2,udp,1,60,gretest0,10.10.44.5,930.2,0,3.06,18.58,1,1,1,1,yes,ok
