pair,scenario,cell,rep,proto,sysctl,dur_s,scenario_iface,scenario_v4,mbps,retransmits,recv_sys_pct,recv_soft_pct,rps,rfs,cake,flower,kernel_has_sysctl,status
l-l2,ipip,cell-03,1,udp,0,60,ipip0,10.10.42.5,5372.3,0,11.07,4.94,1,1,1,1,yes,ok
l-l2,ipip,cell-03,2,udp,0,60,ipip0,10.10.42.5,5313.1,0,11.68,4.39,1,1,1,1,yes,ok
l-l2,ipip,cell-03,3,udp,0,60,ipip0,10.10.42.5,5351.1,0,11.70,4.42,1,1,1,1,yes,ok
l-l2,ipip,cell-04,1,udp,1,60,ipip0,10.10.42.5,5330.3,0,11.68,4.41,1,1,1,1,yes,ok
l-l2,ipip,cell-04,2,udp,1,60,ipip0,10.10.42.5,5242.9,0,11.23,4.75,1,1,1,1,yes,ok
l-l2,ipip,cell-04,3,udp,1,60,ipip0,10.10.42.5,5228.5,0,11.74,4.30,1,1,1,1,yes,ok
l-l2,gre,cell-01,1,tcp,0,60,gretest0,10.10.44.5,8424.4,61,8.54,6.57,1,1,1,1,yes,ok
l-l2,gre,cell-01,2,tcp,0,60,gretest0,10.10.44.5,8538.3,57,8.47,6.73,1,1,1,1,yes,ok
l-l2,gre,cell-01,3,tcp,0,60,gretest0,10.10.44.5,8358.6,30,8.36,6.82,1,1,1,1,yes,ok
l-l2,gre,cell-02,1,tcp,1,60,gretest0,10.10.44.5,8029.2,145,7.85,6.19,1,1,1,1,yes,ok
l-l2,gre,cell-02,2,tcp,1,60,gretest0,10.10.44.5,7870.0,110,7.88,6.09,1,1,1,1,yes,ok
l-l2,gre,cell-02,3,tcp,1,60,gretest0,10.10.44.5,8179.2,87,8.19,6.25,1,1,1,1,yes,ok
l-l2,gre,cell-03,1,udp,0,60,gretest0,10.10.44.5,5146.2,0,11.17,4.88,1,1,1,1,yes,ok
l-l2,gre,cell-03,2,udp,0,60,gretest0,10.10.44.5,5249.1,0,11.04,5.02,1,1,1,1,yes,ok
l-l2,gre,cell-03,3,udp,0,60,gretest0,10.10.44.5,5298.6,0,10.98,5.10,1,1,1,1,yes,ok
l-l2,gre,cell-04,1,udp,1,60,gretest0,10.10.44.5,5291.2,0,11.62,4.54,1,1,1,1,yes,ok
l-l2,gre,cell-04,2,udp,1,60,gretest0,10.10.44.5,5255.1,0,11.14,4.95,1,1,1,1,yes,ok
l-l2,gre,cell-04,3,udp,1,60,gretest0,10.10.44.5,5132.6,0,11.10,4.91,1,1,1,1,yes,ok
l-l2,geneve,cell-01,1,tcp,0,60,geneve10,192.168.101.2,15021.8,556,6.28,7.93,1,1,1,1,yes,ok
l-l2,geneve,cell-01,2,tcp,0,60,geneve10,192.168.101.2,13865.0,1387,6.38,7.80,1,1,1,1,yes,ok
l-l2,geneve,cell-01,3,tcp,0,60,geneve10,192.168.101.2,10664.6,2617,6.72,6.02,1,1,1,1,yes,ok
l-l2,geneve,cell-02,1,tcp,1,60,geneve10,192.168.101.2,12555.3,1875,5.58,6.71,1,1,1,1,yes,ok
l-l2,geneve,cell-02,2,tcp,1,60,geneve10,192.168.101.2,12922.7,499,6.29,7.17,1,1,1,1,yes,ok
l-l2,geneve,cell-02,3,tcp,1,60,geneve10,192.168.101.2,12678.3,1633,6.22,7.02,1,1,1,1,yes,ok
l-l2,geneve,cell-03,1,udp,0,60,geneve10,192.168.101.2,4472.0,0,12.09,4.01,1,1,1,1,yes,ok
l-l2,geneve,cell-03,2,udp,0,60,geneve10,192.168.101.2,4522.0,0,12.04,4.05,1,1,1,1,yes,ok
l-l2,geneve,cell-03,3,udp,0,60,geneve10,192.168.101.2,4570.4,0,11.99,4.11,1,1,1,1,yes,ok
l-l2,geneve,cell-04,1,udp,1,60,geneve10,192.168.101.2,4574.4,0,12.01,4.10,1,1,1,1,yes,ok
l-l2,geneve,cell-04,2,udp,1,60,geneve10,192.168.101.2,4570.2,0,11.56,4.46,1,1,1,1,yes,ok
l-l2,geneve,cell-04,3,udp,1,60,geneve10,192.168.101.2,4547.0,0,12.02,4.07,1,1,1,1,yes,ok
