Linux 7.0.0 (hp5) 	06/18/2026 	_x86_64_	(8 CPU)

07:55:42 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:55:50 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:55:51 PM  all    0.25    0.00   20.53    0.00    0.00    5.51    0.00    0.00    0.00   73.72
07:55:51 PM    0    1.00    0.00   82.00    0.00    0.00   15.00    0.00    0.00    0.00    2.00
07:55:51 PM    1    1.00    0.00   82.00    0.00    0.00   15.00    0.00    0.00    0.00    2.00
07:55:51 PM    2    0.00    0.00    0.00    0.00    0.00    6.06    0.00    0.00    0.00   93.94
07:55:51 PM    3    0.00    0.00    0.00    0.00    0.00    7.00    0.00    0.00    0.00   93.00
07:55:51 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:55:51 PM    5    0.00    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00   99.01
07:55:51 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:55:51 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

07:55:51 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:55:52 PM  all    0.25    0.00   20.45    0.00    0.37    4.99    0.00    0.00    0.00   73.94
07:55:52 PM    0    0.99    0.00   81.19    0.00    0.99   13.86    0.00    0.00    0.00    2.97
07:55:52 PM    1    1.01    0.00   82.83    0.00    0.00   13.13    0.00    0.00    0.00    3.03
07:55:52 PM    2    0.00    0.00    0.00    0.00    0.99    5.94    0.00    0.00    0.00   93.07
07:55:52 PM    3    0.00    0.00    0.00    0.00    0.99    5.94    0.00    0.00    0.00   93.07
07:55:52 PM    4    0.00    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00   99.01
07:55:52 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:55:52 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:55:52 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all    0.21    0.00   20.18    0.00    0.19    5.63    0.00    0.00    0.00   73.80
Average:       0    0.90    0.00   80.60    0.00    0.30   15.50    0.00    0.00    0.00    2.70
Average:       1    0.80    0.00   80.80    0.00    0.30   15.40    0.00    0.00    0.00    2.70
Average:       2    0.00    0.00    0.00    0.00    0.30    6.51    0.00    0.00    0.00   93.19
Average:       3    0.00    0.00    0.00    0.00    0.40    6.60    0.00    0.00    0.00   93.00
Average:       4    0.00    0.00    0.00    0.00    0.10    0.50    0.00    0.00    0.00   99.40
Average:       5    0.00    0.00    0.00    0.00    0.10    0.50    0.00    0.00    0.00   99.40
Average:       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
