time,srcaddress,srcport,dstaddr,dstport,transferid,istart,iend,bytes,speed,writecnt,writeerr,tcpretry,tcpcwnd,tcppcwnd,tcprtt,tcprttvar
-0700:20260611040518.240500,172.16.40.122,0,172.16.40.174,5001,-1,19.0,20.0,117571584,940572672,897,0,0,4120854346931896320,0,0,0
-0700:20260611040519.240500,172.16.40.122,41332,172.16.40.174,5001,4,20.0,21.0,28835840,230686720,220,0,0,318,225,4270,114
-0700:20260611040519.240501,172.16.40.122,41334,172.16.40.174,5001,1,20.0,21.0,29229056,233832448,223,0,0,216,153,4274,170
-0700:20260611040519.240500,172.16.40.122,41336,172.16.40.174,5001,2,20.0,21.0,29360128,234881024,224,0,0,224,159,4334,131
-0700:20260611040519.240586,172.16.40.122,41330,172.16.40.174,5001,3,20.0,21.0,29491200,235929600,225,0,0,332,235,4223,155
-0700:20260611040519.240500,172.16.40.122,0,172.16.40.174,5001,-1,20.0,21.0,116916224,935329792,892,0,0,4120854346931896320,0,0,0
-0700:20260611040520.240500,172.16.40.122,41332,172.16.40.174,5001,4,21.0,22.0,29622272,236978176,226,0,0,318,225,4293,114
-0700:20260611040520.240501,172.16.40.122,41334,172.16.40.174,5001,1,21.0,22.0,29097984,232783872,222,0,0,216,153,4294,147
-0700:20260611040520.240500,172.16.40.122,41336,172.16.40.174,5001,2,21.0,22.0,29360128,234881024,224,0,0,224,159,4247,153
-0700:20260611040520.240586,172.16.40.122,41330,172.16.40.174,5001,3,21.0,22.0,29491200,235929600,225,0,0,332,235,4268,142
-0700:20260611040520.240500,172.16.40.122,0,172.16.40.174,5001,-1,21.0,22.0,117571584,940572672,897,0,0,4120854346931896320,0,0,0
-0700:20260611040521.240500,172.16.40.122,41332,172.16.40.174,5001,4,22.0,23.0,28966912,231735296,221,0,0,318,225,4276,133
-0700:20260611040521.240501,172.16.40.122,41334,172.16.40.174,5001,1,22.0,23.0,29229056,233832448,223,0,0,216,153,4337,142
-0700:20260611040521.240500,172.16.40.122,41336,172.16.40.174,5001,2,22.0,23.0,28966912,231735296,221,0,0,224,159,4277,136
-0700:20260611040521.240586,172.16.40.122,41330,172.16.40.174,5001,3,22.0,23.0,28573696,228589568,218,0,0,332,235,4282,120
-0700:20260611040521.240500,172.16.40.122,0,172.16.40.174,5001,-1,22.0,23.0,115736576,925892608,883,0,0,4120854346931896320,0,0,0
-0700:20260611040522.240501,172.16.40.122,41334,172.16.40.174,5001,1,23.0,24.0,29229056,233832448,223,0,0,216,153,4339,124
-0700:20260611040522.240500,172.16.40.122,41336,172.16.40.174,5001,2,23.0,24.0,29360128,234881024,224,0,0,224,159,4264,118
-0700:20260611040522.240500,172.16.40.122,41332,172.16.40.174,5001,4,23.0,24.0,29622272,236978176,226,0,0,318,225,4257,126
-0700:20260611040522.240586,172.16.40.122,41330,172.16.40.174,5001,3,23.0,24.0,29491200,235929600,225,0,0,332,235,4249,152
-0700:20260611040522.240500,172.16.40.122,0,172.16.40.174,5001,-1,23.0,24.0,117702656,941621248,898,0,0,4120854346931896320,0,0,0
-0700:20260611040523.240500,172.16.40.122,41332,172.16.40.174,5001,4,24.0,25.0,28835840,230686720,220,0,0,318,225,4283,109
-0700:20260611040523.240501,172.16.40.122,41334,172.16.40.174,5001,1,24.0,25.0,29622272,236978176,226,0,0,216,153,4306,150
-0700:20260611040523.240500,172.16.40.122,41336,172.16.40.174,5001,2,24.0,25.0,29360128,234881024,224,0,0,224,159,4246,156
-0700:20260611040523.240586,172.16.40.122,41330,172.16.40.174,5001,3,24.0,25.0,29360128,234881024,224,0,0,332,235,4252,148
-0700:20260611040523.240500,172.16.40.122,0,172.16.40.174,5001,-1,24.0,25.0,117178368,937426944,894,0,0,4120854346931896320,0,0,0
-0700:20260611040524.240500,172.16.40.122,41332,172.16.40.174,5001,4,25.0,26.0,29622272,236978176,226,0,0,318,225,4263,114
-0700:20260611040524.240501,172.16.40.122,41334,172.16.40.174,5001,1,25.0,26.0,29229056,233832448,223,0,0,216,153,4341,138
-0700:20260611040524.240500,172.16.40.122,41336,172.16.40.174,5001,2,25.0,26.0,29360128,234881024,224,0,0,224,159,4264,140
-0700:20260611040524.240586,172.16.40.122,41330,172.16.40.174,5001,3,25.0,26.0,29360128,234881024,224,0,0,332,235,4298,128
-0700:20260611040524.240500,172.16.40.122,0,172.16.40.174,5001,-1,25.0,26.0,117571584,940572672,897,0,0,4120854346931896320,0,0,0
-0700:20260611040525.240500,172.16.40.122,41332,172.16.40.174,5001,4,26.0,27.0,28835840,230686720,220,0,0,318,225,4240,120
-0700:20260611040525.240501,172.16.40.122,41334,172.16.40.174,5001,1,26.0,27.0,29097984,232783872,222,0,0,216,153,4328,125
-0700:20260611040525.240500,172.16.40.122,41336,172.16.40.174,5001,2,26.0,27.0,28835840,230686720,220,0,0,224,159,4286,122
-0700:20260611040525.240586,172.16.40.122,41330,172.16.40.174,5001,3,26.0,27.0,29491200,235929600,225,0,0,332,235,4219,161
-0700:20260611040525.240500,172.16.40.122,0,172.16.40.174,5001,-1,26.0,27.0,116260864,930086912,887,0,0,4120854346931896320,0,0,0
-0700:20260611040526.240501,172.16.40.122,41334,172.16.40.174,5001,1,27.0,28.0,29360128,234881024,224,0,0,216,153,4278,154
-0700:20260611040526.240500,172.16.40.122,41336,172.16.40.174,5001,2,27.0,28.0,29360128,234881024,224,0,0,224,159,4217,157
-0700:20260611040526.240586,172.16.40.122,41330,172.16.40.174,5001,3,27.0,28.0,28704768,229638144,219,0,0,332,235,4250,133
-0700:20260611040526.240500,172.16.40.122,41332,172.16.40.174,5001,4,27.0,28.0,29884416,239075328,228,0,0,318,225,4281,116
-0700:20260611040526.240500,172.16.40.122,0,172.16.40.174,5001,-1,27.0,28.0,117309440,938475520,895,0,0,4120854346931896320,0,0,0
-0700:20260611040527.240500,172.16.40.122,41332,172.16.40.174,5001,4,28.0,29.0,28966912,231735296,221,0,0,318,225,4663,699
-0700:20260611040527.240501,172.16.40.122,41334,172.16.40.174,5001,1,28.0,29.0,29229056,233832448,223,0,0,216,153,4314,136
-0700:20260611040527.240500,172.16.40.122,41336,172.16.40.174,5001,2,28.0,29.0,29360128,234881024,224,0,0,224,159,4258,139
-0700:20260611040527.240586,172.16.40.122,41330,172.16.40.174,5001,3,28.0,29.0,29360128,234881024,224,0,0,332,235,4343,165
-0700:20260611040527.240500,172.16.40.122,0,172.16.40.174,5001,-1,28.0,29.0,116916224,935329792,892,0,0,4120854346931896320,0,0,0
-0700:20260611040528.240500,172.16.40.122,41332,172.16.40.174,5001,4,29.0,30.0,29360128,234881024,224,0,0,318,225,4267,137
-0700:20260611040528.240501,172.16.40.122,41334,172.16.40.174,5001,1,29.0,30.0,29229056,233832448,223,0,0,216,153,4308,141
-0700:20260611040528.240500,172.16.40.122,41336,172.16.40.174,5001,2,29.0,30.0,29360128,234881024,224,0,0,224,159,4279,137
-0700:20260611040528.240586,172.16.40.122,41330,172.16.40.174,5001,3,29.0,30.0,29360128,234881024,224,0,0,332,235,4238,164
-0700:20260611040528.240500,172.16.40.122,0,172.16.40.174,5001,-1,29.0,30.0,117309440,938475520,895,0,0,4120854346931896320,0,0,0
-0700:20260611040529.240501,172.16.40.122,41334,172.16.40.174,5001,1,30.0,31.0,29097984,232783872,222,0,0,216,153,4296,157
-0700:20260611040529.240500,172.16.40.122,41332,172.16.40.174,5001,4,30.0,31.0,29360128,234881024,224,0,0,318,225,4255,114
-0700:20260611040529.240500,172.16.40.122,41336,172.16.40.174,5001,2,30.0,31.0,29360128,234881024,224,0,0,224,159,4254,144
-0700:20260611040529.240586,172.16.40.122,41330,172.16.40.174,5001,3,30.0,31.0,29491200,235929600,225,0,0,332,235,4250,153
-0700:20260611040529.240500,172.16.40.122,0,172.16.40.174,5001,-1,30.0,31.0,117309440,938475520,895,0,0,4120854346931896320,0,0,0
-0700:20260611040530.240501,172.16.40.122,41334,172.16.40.174,5001,1,31.0,32.0,29229056,233832448,223,0,0,216,153,4295,165
-0700:20260611040530.240500,172.16.40.122,41336,172.16.40.174,5001,2,31.0,32.0,29360128,234881024,224,0,0,224,159,4254,144
-0700:20260611040530.240586,172.16.40.122,41330,172.16.40.174,5001,3,31.0,32.0,29360128,234881024,224,0,0,332,235,4287,136
-0700:20260611040530.240500,172.16.40.122,41332,172.16.40.174,5001,4,31.0,32.0,29491200,235929600,225,0,0,318,225,4333,108
-0700:20260611040530.240500,172.16.40.122,0,172.16.40.174,5001,-1,31.0,32.0,117440512,939524096,896,0,0,4120854346931896320,0,0,0
-0700:20260611040531.240586,172.16.40.122,41330,172.16.40.174,5001,3,32.0,33.0,28704768,229638144,219,0,0,332,235,4343,146
-0700:20260611040531.240500,172.16.40.122,41332,172.16.40.174,5001,4,32.0,33.0,28966912,231735296,221,0,0,318,225,4267,120
-0700:20260611040531.240501,172.16.40.122,41334,172.16.40.174,5001,1,32.0,33.0,29622272,236978176,226,0,0,216,153,4353,139
-0700:20260611040531.240500,172.16.40.122,41336,172.16.40.174,5001,2,32.0,33.0,28966912,231735296,221,0,0,224,159,4269,130
-0700:20260611040531.240500,172.16.40.122,0,172.16.40.174,5001,-1,32.0,33.0,116260864,930086912,887,0,0,4120854346931896320,0,0,0
-0700:20260611040532.240500,172.16.40.122,41332,172.16.40.174,5001,4,33.0,34.0,28835840,230686720,220,0,0,318,225,4282,118
-0700:20260611040532.240501,172.16.40.122,41334,172.16.40.174,5001,1,33.0,34.0,29229056,233832448,223,0,0,216,153,4312,160
-0700:20260611040532.240500,172.16.40.122,41336,172.16.40.174,5001,2,33.0,34.0,29360128,234881024,224,0,0,224,159,4387,240
